epoch,train_loss,train_node_mse,train_edge_attr_mse,train_edge_presence_bce,train_target_mse,val_loss,val_node_mse,val_edge_attr_mse,val_edge_presence_bce,val_target_mse,test_loss,test_node_mse,test_edge_attr_mse,test_edge_presence_bce,test_target_mse
1,1.5611142129098483,0.036992291629232066,1.4342841458413136,0.15078520956900415,0.074759254169844,0.8522107136949303,0.028159578840406436,0.7149918665426083,0.10948516907994352,0.09811075176666363,0.8577857708756491,0.028674819712373546,0.7283119141183123,0.11557067153887968,0.08924197077754567
2,0.9762681534519088,0.02972186872449126,0.8856989130489914,0.1042463738840995,0.0504227339563653,0.7734197719916858,0.025750052552881104,0.6203904869483952,0.09475488303936003,0.11780374426027944,0.7823046386062303,0.02641214838221804,0.6375440643411538,0.09990621683698146,0.10835780459877105
3,0.861990549833788,0.028286770952301254,0.7860418379460992,0.0897870286896138,0.03868323754550327,0.7411926536190185,0.025214992043810197,0.5869472630368838,0.07798777047380712,0.12123162171130304,0.7374697537628474,0.025597695013475325,0.6034902707928991,0.08470576258277616,0.0999112116429294
4,0.777058242167489,0.02800136573765136,0.7077284276499461,0.08327836529741647,0.033000612713987715,0.6529194999728313,0.02475903077593827,0.5407945530906914,0.07777258923640416,0.07958865685528047,0.6797575324170814,0.025006037215881443,0.5573281717746873,0.08566736521819159,0.08885658618151537
5,0.722930312009488,0.02777111451036401,0.6570364838835774,0.08028511814632902,0.03009420167019561,0.615498748933994,0.024347004927772895,0.5029462717426648,0.07790007087279041,0.0804154659798115,0.6312765711168764,0.02457966588299643,0.5133671961464966,0.0882170396362637,0.08450800549837084
6,0.6942599543693597,0.02750931061985653,0.6309104267497277,0.07844628947011614,0.0279955885359695,0.6050182899589058,0.024273572009314532,0.4914103908233923,0.07580625699282442,0.08175370003539967,0.6155673308563396,0.02460192043528288,0.5018701000917691,0.08509373241811798,0.08058593764710126
7,0.6774527125221765,0.027182358742217593,0.6170081160577086,0.07741142303778362,0.025521095038879213,0.6286865412814062,0.023943547938464198,0.4863398361256038,0.07614466076252095,0.11078868961741219,0.637583383675336,0.024069859746088256,0.4965364682972046,0.08576763573163192,0.10840029232358563
8,0.666059081047521,0.0270438070208805,0.6073324462207891,0.07648858881134081,0.024033968579512517,0.6213597209511064,0.024054827111962582,0.4948804546577126,0.07145081366367435,0.09527935699202937,0.6329724118081445,0.02410712004352555,0.5036822622493583,0.0808432734396198,0.09709870275836412
9,0.6563687355854213,0.026928031953097245,0.5990164602212152,0.07570363638304027,0.022853880179174217,0.6282009874749733,0.023866220469151152,0.4865730869695076,0.07256092718437283,0.11050558743050978,0.6367764133499759,0.023837661877389976,0.49760459801579054,0.08227897554738635,0.10710625746081937
10,0.6480445346513786,0.026745469947428786,0.5922773765331715,0.07497104936606151,0.021524583494080658,0.6217160755046008,0.023326329551090486,0.476143269481399,0.07411936480762824,0.11483453946358688,0.6281096589909101,0.02331320905365977,0.48705725614951695,0.08521250563541774,0.10921794386999842
11,0.641317712242942,0.026589518034899028,0.5869335224142304,0.07410449344535146,0.02038422260059001,0.6529547086676711,0.023722765607997555,0.5115841404384537,0.07850355030558769,0.10979744716137657,0.6591394255246471,0.02368823271060344,0.5195570199642519,0.08982572927461634,0.10691159924539999
12,0.6313557937208595,0.026636630248958255,0.5773883085778493,0.07331476187261622,0.019999378019282796,0.6366344958356341,0.023814967722169258,0.4979853563213748,0.07584278980969009,0.10724989208118234,0.6393512934895358,0.023545030089920316,0.5006112210000326,0.08656869760706053,0.10653817193097599
13,0.6129671646911136,0.02644392611329231,0.5597261609973935,0.07383008757895271,0.01941406860955713,0.6639134653959134,0.023801549212846992,0.5117934893512126,0.0877541267436068,0.11954301368548333,0.6670039117310614,0.023556558876344474,0.5170069728696136,0.10072272265946562,0.11636810820863429
14,0.6043644900436348,0.026162095426389927,0.5521365076738041,0.07420260800523569,0.018645626666873732,0.6562944443845649,0.023396478411380348,0.5038354625804369,0.09148905376280879,0.11991359727416043,0.6670985118715711,0.023231344038538004,0.5144504628020322,0.10777199955667548,0.11863950450400493
