model,graphs,nodes,unique_edges,sampled_non_edges,node_feature_mse,edge_feature_mse,aa_identity_accuracy_pct,aa_identity_misclassified_pct,chain_accuracy_pct,interface_node_accuracy_pct,interface_edge_accuracy_pct,rsasa_i_mae,rsasa_i_rmse,rsasa_i_bias,drsasa_mae,drsasa_rmse,drsasa_bias,ca_dist_mae_angstrom,ca_dist_rmse_angstrom,ca_dist_bias_angstrom,edge_recall_pct,edge_precision_pct,edge_specificity_pct,sampled_edge_accuracy_pct,edge_f1_pct,checkpoint,target_id,node_features,edge_features,mean_true_dockq,mean_predicted_dockq,dockq_mae,dockq_rmse
gate_all_features,1363,857327,5001928,5001928,0.02083428636101926,0.47383578789479713,75.56416629827358,24.435833701726416,100.0,98.57778887169073,99.9995601695986,,,,,,,0.7720044373057717,0.9732035294577835,-0.17164146913885553,85.7923584665753,97.52469779714058,97.82247965184625,91.80741905921077,91.28309174592364,checkpoints/gate_all_features/gate_model.pt,1atn,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.3615649292117049,0.15528118373144223,0.26508959271464705,0.35423325258926697
gate_no_aa_identity,1363,857327,5001928,5001928,0.0006210908656742667,1.96666491611772,,,100.0,99.99661739336332,99.94370170862116,,,,,,,1.4990029604350188,1.982254262972236,-0.5542979409854404,14.785578680860661,83.5461627444601,97.08808283525873,55.9368307580597,25.124712424224715,checkpoints/gate_no_aa_identity/gate_model.pt,1atn,"chain,interface_nodes","interface_edges,ca_dist",0.3615649292117049,0.17704016189975766,0.30365531773170457,0.3806279517478449
gate_with_rsasa_drsasa_20ep,1363,857327,5001928,5001928,0.02085970375573702,0.4772610094633447,74.0738364707982,25.92616352920181,100.0,98.85166336765319,99.99904037003331,0.04813107413514949,0.05878746134289843,0.042061557983374805,,,,0.7730771570634707,0.9765870116155829,-0.152662159545498,89.85937022684053,96.85557237801312,97.0827049089871,93.47103756791381,93.22639758155262,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1atn,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.3615649292117049,0.3112120916923441,0.20972853067781302,0.2491193192009939
gate_all_features,1253,726740,4249602,4249602,0.02148746872351942,0.5068601003785913,70.34001155846657,29.659988441533425,100.0,97.69477392189779,99.99971762061483,,,,,,,0.801236204254944,1.0065614173220332,-0.3072639957906738,90.85999112387466,92.23075532140292,92.3462244228989,91.60310777338678,91.54024190245549,checkpoints/gate_all_features/gate_model.pt,1dfj,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.30726177181085274,0.09677102108146321,0.22429916628986502,0.3143286654749471
gate_no_aa_identity,1253,726740,4249602,4249602,0.0010205977929149995,1.3770111714515045,,,100.0,99.9788094779426,99.97785674987917,,,,,,,1.2579635619406242,1.6584546634460189,-0.5044100328740161,33.40293985177906,68.60004378442406,84.71063878452617,59.05678931815261,44.928943344109065,checkpoints/gate_no_aa_identity/gate_model.pt,1dfj,"chain,interface_nodes","interface_edges,ca_dist",0.30726177181085274,0.2590542458360517,0.20565058259517907,0.2422607224950516
gate_with_rsasa_drsasa_20ep,1253,726740,4249602,4249602,0.02136095382573636,0.5157195530297051,70.13140875691444,29.86859124308556,100.0,97.97093871260698,99.99915286184448,0.07393123176235199,0.08726173440244203,0.0715966133310631,,,,0.8047237232911018,1.0152079250579882,-0.28643567641206186,94.76948664839672,90.6269971430166,90.19856447733223,92.48402556286447,92.65196210940421,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1dfj,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.30726177181085274,0.44931754411004204,0.17903416231051622,0.2459668668785385
gate_all_features,1208,300792,1578618,1578618,0.02209116167759623,0.4883394010402191,73.08206335274873,26.91793664725126,100.0,96.69638820181387,99.9978462173876,,,,,,,0.7976896767327448,0.9877639594910502,-0.1928493250631372,88.11789806020202,95.55416186392594,95.90014810422788,92.00902308221495,91.68549530975643,checkpoints/gate_all_features/gate_model.pt,1fc2,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.2351001654605116,0.12391489322315778,0.17930822586255235,0.21293212838689107
gate_no_aa_identity,1208,300792,1578618,1578618,0.0010569900109656137,1.6062786784481446,,,100.0,99.99268597569085,99.93221919425726,,,,,,,1.3949358798607043,1.7911248472020116,-0.643755480435211,31.641980517135877,70.12677420713473,86.5208682531176,59.08142438512674,43.60768743223211,checkpoints/gate_no_aa_identity/gate_model.pt,1fc2,"chain,interface_nodes","interface_edges,ca_dist",0.2351001654605116,0.2777286699128072,0.12889333423890098,0.155500368681562
gate_with_rsasa_drsasa_20ep,1208,300792,1578618,1578618,0.022131068180998893,0.4998710506870294,71.26386340062236,28.736136599377648,100.0,97.1967339556903,99.99828964321958,0.05717716449378491,0.07105193461670728,-0.0438167045983822,,,,0.8114918159196075,0.999101921750968,-0.15394650871723314,90.04287294329598,95.1801678437244,95.44031551648341,92.74159422988969,92.54027710006831,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1fc2,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.2351001654605116,0.2331294160434939,0.16622815435884877,0.20312649468956712
gate_all_features,1291,265946,1476531,1476531,0.020943797260433945,0.4498347455114426,74.10226136132898,25.897738638671008,100.0,97.34532574281997,99.99688458962257,,,,,,,0.7582806207669996,0.9479147441572812,-0.1991908648358374,80.83907483148,97.53780403597155,97.9593384764695,89.39920665397476,88.40681471079253,checkpoints/gate_all_features/gate_model.pt,1j2j,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.34312316046567454,0.08884640480085088,0.2907787502363128,0.3899217491919845
gate_no_aa_identity,1291,265946,1476531,1476531,0.0009292813096015237,1.5432690878390856,,,100.0,99.99736788671385,99.99674913699747,,,,,,,1.3534163087278137,1.7554784382320958,-0.49379105309967514,5.181807899732549,93.25719439805955,99.62533803895754,52.403572969345035,9.81807729373132,checkpoints/gate_no_aa_identity/gate_model.pt,1j2j,"chain,interface_nodes","interface_edges,ca_dist",0.34312316046567454,0.17667757004707196,0.253910386548208,0.3285885579293818
gate_with_rsasa_drsasa_20ep,1291,265946,1476531,1476531,0.02041966848870469,0.4011876598398848,76.12184428417798,23.878155715822015,100.0,97.5720635016131,99.9989841053117,0.04267666449300135,0.05409084803560266,-0.020808260609346263,,,,0.7212826527402426,0.89479783370142,-0.07284136735145708,88.17376675464314,96.8294059766032,97.1128272958712,92.64329702525717,92.29910310753988,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1j2j,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.34312316046567454,0.11503513682544185,0.27730061136197665,0.3726245541146931
gate_all_features,1496,462264,2540495,2540495,0.02111841623637944,0.5106520639713084,75.01600816849246,24.983991831507534,100.0,97.89644012944983,99.99996063759228,,,,,,,0.8100611105992631,1.0101001043457856,-0.14914797778316324,82.48054020968355,97.25358165923137,97.6707688855912,90.07565454763737,89.25993427592228,checkpoints/gate_all_features/gate_model.pt,1kac,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.32067713960332866,0.05533126489642788,0.3094481387646261,0.42257408111113837
gate_no_aa_identity,1496,462264,2540495,2540495,0.0007786153752795875,1.4782530305555919,,,100.0,99.99394285516502,99.98882107620759,,,,,,,1.349628869290083,1.7181736414043414,-0.5211111351915424,8.611668198520366,89.612107806996,99.00172997781928,53.80669908816983,15.713298152181524,checkpoints/gate_no_aa_identity/gate_model.pt,1kac,"chain,interface_nodes","interface_edges,ca_dist",0.32067713960332866,0.16914554398486958,0.28167841985776904,0.35335630552188874
