model,graphs,nodes,unique_edges,sampled_non_edges,node_feature_mse,edge_feature_mse,aa_identity_accuracy_pct,aa_identity_misclassified_pct,chain_accuracy_pct,interface_node_accuracy_pct,interface_edge_accuracy_pct,rsasa_i_mae,rsasa_i_rmse,rsasa_i_bias,drsasa_mae,drsasa_rmse,drsasa_bias,ca_dist_mae_angstrom,ca_dist_rmse_angstrom,ca_dist_bias_angstrom,edge_recall_pct,edge_precision_pct,edge_specificity_pct,sampled_edge_accuracy_pct,edge_f1_pct,target_id
gat4_residual_01_rsasa_i,1350,410400,2343581,2343581,0.006372156719078764,0.5966166440739403,97.63961988304094,2.36038011695906,99.88523391812866,98.99537037037037,97.48990967242011,0.03864175179316054,0.04744329927353273,-0.005725876839602725,,,,0.8721625068040739,1.0837371011328265,-0.03905129268186788,25.898656799146263,96.44341126165708,99.04492313259068,62.471789965868474,40.83231301212275,1acb
gat4_residual_01_rsasa_i,1233,483336,2749819,2749819,0.006729370785782313,0.6119920293148726,98.03159706705067,1.9684029329493313,99.97910356356654,98.74724829104392,97.41637540507212,0.04028845563226817,0.050832424814283725,0.0007988094152454747,,,,0.8750884985005917,1.0978928939953145,-0.042338696259474035,22.054178838679928,97.39086586253025,99.40916111205865,60.731669975369286,35.96424746391122,1avx
gat4_residual_01_rsasa_i,1303,465171,2640060,2640060,0.0067336548717058875,0.6899808627784649,96.70271792523609,3.2972820747639076,99.99699035408484,99.44687007573559,99.04138542305857,0.05418234945066504,0.06512909283001,-0.03445223720728351,,,,0.9313826501002375,1.1693764331638734,-0.023584796500352473,24.877389150246586,96.56653874994487,99.11547464830345,61.99643189927502,39.562675630009124,1buh
gat4_residual_01_rsasa_i,1488,410688,2309478,2309478,0.007111009652336858,0.5808421702055667,98.10050451924576,1.899495480754243,99.96298893563971,99.14095371669003,97.48631508938384,0.0571808064742792,0.06863894631482158,-0.03468472597075898,,,,0.8613826691462787,1.0695919482752765,-0.011467267179468613,21.465759795070575,96.62723588882976,99.25073977756013,60.358249786315355,35.12785873944962,1fle
gat4_residual_01_rsasa_i,1117,726050,4349423,4349423,0.006587960117153786,0.6730778283132864,97.50526823221541,2.494731767784586,99.97465739274155,99.220301632119,99.31588626813259,0.12119964878073607,0.1241416406726378,0.12119964878073607,,,,0.9210426063402188,1.155906534424606,-0.08112668773655167,37.093954761355704,94.21376265722995,97.7218357469485,67.40789525415211,53.23009368541095,1gla
gat4_residual_01_rsasa_i,1164,542424,3147511,3147511,0.006256089167112471,0.5807103035113251,98.21302154771912,1.786978452280874,99.98211731044348,98.38760821792546,99.12121037861345,0.042619987036814994,0.05595269458501108,0.03378263030985176,,,,0.861093407123046,1.0726324553782,-0.07288544380691007,33.88226443052939,95.16121980056663,98.27714660886015,66.07970551969477,49.97195529904273,1m10
gat4_residual_01_rsasa_i,1405,456625,2641744,2641744,0.004800133140021946,0.47413725447749017,98.69871338625788,1.3012866137421253,99.9940870517383,99.33096085409254,97.22830826908286,0.056846653305208265,0.06637831132419801,0.0540264094739361,,,,0.7761228259534557,0.9645890429489085,0.002690242466184124,24.722948173630755,95.98352259617575,98.96545615320788,61.84420216341932,39.31844978208659,1r0r
gat4_residual_01_rsasa_i,1307,218269,1112364,1112364,0.009153077311843415,0.5991420416013707,97.84715190888308,2.152848091116921,99.15746166427665,95.27967782873426,86.7266470328058,0.10972130259891923,0.12840381530147207,-0.10537351532399773,,,,0.8546512636311256,1.0618981665457792,-0.03184192164069733,21.539801719581,93.5649015932521,98.51856047121265,60.02918109539684,35.0180204670414,1r8o
gat4_residual_01_rsasa_i,1389,229185,1206270,1206270,0.007327273653645706,0.6060210806960552,97.13681087331196,2.8631891266880483,99.99825468507973,98.84678316643759,97.44841536306133,0.08118766817374648,0.09445962708934622,-0.07605849754634264,,,,0.8740584584745551,1.0923934431582623,-0.03686305384382262,22.786606646936423,96.47537818960373,99.16751639351057,60.977061520223494,36.865837792888854,1wmh
gat4_residual_01_rsasa_i,1002,468936,2738316,2738316,0.005539870219190752,0.5647330359003746,98.1888786529505,1.8111213470494936,99.99083030520156,98.91669652148694,99.45565084526402,0.07304423742110303,0.08217211198594354,0.0727933810161003,,,,0.8508213725471752,1.0581378114003723,-0.06192598304739007,27.279284056332433,96.64470253982587,99.05292157661863,63.16610281647552,42.548635910416905,1xg2
